2 31
0 1 2 6.267912 4.893129 5.831723 
1 3 4 4.269013 1.343585 5.356857 
2 5 6 5.841295 6.388723 6.782240 
3 7 8 3.053546 2.114211 2.493533 
4 9 10 1.565169 2.159700 6.689074 
5 11 12 1.923868 6.148609 7.051204 
6 13 14 6.107472 9.177952 3.064194 
7 15 16 0.878306 0.730455 1.758478 
8 17 18 1.182733 2.607318 4.571727 
9 19 20 0.730612 2.096886 5.804694 
10 21 22 1.006140 2.362272 7.862032 
11 23 24 1.066116 4.951647 7.339916 
12 25 26 0.841238 7.094055 7.578685 
13 27 28 0.448498 9.552859 2.079041 
14 29 30 2.668526 8.962087 6.552890 
15 -1 -1 0.000000 0.163006 2.428868 
16 -1 -1 0.000000 1.297904 1.088088 
17 -1 -1 0.000000 1.566791 4.009444 
18 -1 -1 0.000000 3.647845 5.134009 
19 -1 -1 0.000000 1.416026 6.069689 
20 -1 -1 0.000000 2.777747 5.539700 
21 -1 -1 0.000000 1.372316 8.041768 
22 -1 -1 0.000000 3.352228 7.682296 
23 -1 -1 0.000000 4.773971 6.288709 
24 -1 -1 0.000000 5.129324 8.391122 
25 -1 -1 0.000000 6.357117 7.172969 
26 -1 -1 0.000000 7.830992 7.984400 
27 -1 -1 0.000000 9.116474 1.975514 
28 -1 -1 0.000000 9.989245 2.182569 
29 -1 -1 0.000000 8.401877 3.943829 
30 -1 -1 0.000000 9.522297 9.161951 
